statement_id,Link,Publication Date,Entities,Annual Revenue,Industry Sectors,Countries
12,https://modernslaveryregister.gov.au/statements/12/,26/11/2020 17:41,['Qinetiq Pty Ltd (68 125 805 647)'],100-150M,['Defence and aerospace'],['Australia']
16,https://modernslaveryregister.gov.au/statements/16/,26/11/2020 17:58,['ORIX AUSTRALIA CORPORATION LIMITED (79 002 992 681)'],Unknown,"['Transportation, logistics, and storage\nFinancial, insurance and real estate activities']",['Australia']
35,https://modernslaveryregister.gov.au/statements/35/,26/11/2020 17:30,['ALDI STORES (A LIMITED PARTNERSHIP) (90 196 565 019)'],Unknown,['Other'],['Australia']
37,https://modernslaveryregister.gov.au/statements/37/,26/11/2020 17:31,"['KPMG Australia (51 194 660 183), KPMG FINANCIAL ADVISORY SERVICES (AUSTRALIA) PTY LTD (43 007 363 215), KPMG HOLDINGS (AUSTRALIA) PTY LTD (34 064 067 241), The Trustee for KPMG AUSTRALIAN SERVICE TRUST (87 160 010 116)']",Unknown,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
39,https://modernslaveryregister.gov.au/statements/39/,26/11/2020 17:31,['SANTOS LIMITED (80 007 550 923)'],1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
40,https://modernslaveryregister.gov.au/statements/40/,26/11/2020 17:34,['KERRY INGREDIENTS AUSTRALIA PTY. LIMITED (47 072 996 895)'],200-250M,"['Food and beverages, agriculture and fishing\nOther']",['Ireland']
41,https://modernslaveryregister.gov.au/statements/41/,26/11/2020 17:39,['BT AUSTRALASIA PTY LIMITED (93 003 050 146)'],200-250M,['Information technology and telecommunication'],['United Kingdom']
51,https://modernslaveryregister.gov.au/statements/51/,26/11/2020 17:51,"['XERO AUSTRALIA PTY LIMITED (89 124 215 247), Xero Limited (81 160 661 183)']",700-800M,"['Information technology and telecommunication\nProfessional and administrative services and supplies, including legal, consulting and accounting services']","['Australia, New Zealand']"
62,https://modernslaveryregister.gov.au/statements/62/,26/11/2020 17:38,['OBAYASHI CORPORATION (86 002 932 756)'],Unknown,"['Construction, civil engineering and building products']",['Japan']
68,https://modernslaveryregister.gov.au/statements/68/,28/01/2021 11:48,['JAMF SOFTWARE AUSTRALIA PTY LTD (47 165 322 154)'],200-250M,['Information technology and telecommunication'],['United States of America']
